"word","prob1"
"0 relevant",1
"0 relevant coursework",1
"000 000 passengers",1
"000 complaints",1
"000 complaints each",1
"000 cooperative",1
"000 cooperative developments",1
"000 daily",1
"000 daily trips",1
"000 licensees",1
"000 licensees managed",1
"000 new",1
"000 new yorkers",1
"000 of",1
"000 of co",1
"000 passengers",1
"000 passengers our",1
"000 passengers the",1
"003161",1
"003161 003162",1
"003161 003162 003163",1
"003162",1
"003162 003163",1
"003162 003163 003164",1
"003163",1
"003163 003164",1
"003163 003164 003165",1
"003164",1
"003164 003165",1
"003164 003165 003166",1
"003165",1
"003165 003166",1
"003165 003166 003167",1
"003166",1
"003166 003167",1
"003166 003167 003168",1
"003167",1
"003167 003168",1
"003167 003168 003169",1
"003168",1
"003168 003169",1
"003168 003169 003170",1
"003169",1
"003169 003170",1
"003169 003170 003171",1
"003170",1
"003170 003171",1
"003170 003171 003172",1
"003171",1
"003171 003172",1
"003171 003172 003173",1
"003172",1
"003172 003173",1
"003172 003173 003174",1
"003173",1
"003173 003174",1
"003173 003174 003175",1
"003174",1
"003174 003175",1
"003174 003175 003176",1
"003175",1
"003175 003176",1
"003175 003176 003177",1
"003176",1
"003176 003177",1
"003176 003177 003178",1
"003177",1
"003177 003178",1
"003177 003178 003179",1
"003178",1
"003178 003179",1
"003178 003179 003180",1
"003179",1
"003179 003180",1
"003179 003180 003181",1
"003180",1
"003180 003181",1
"003180 003181 003182",1
"003181",1
"003181 003182",1
"003181 003182 003183",1
"003182",1
"003182 003183",1
"003182 003183 003184",1
"003183",1
"003183 003184",1
"003183 003184 003185",1
"003184",1
"003184 003185",1
"003184 003185 003186",1
"003185",1
"003185 003186",1
"003185 003186 003187",1
"003186",1
"003186 003187",1
"003186 003187 003188",1
"003187",1
"003187 003188",1
"003187 003188 003189",1
"003188",1
"003188 003189",1
"003188 003189 003190",1
"003189",1
"003189 003190",1
"003189 003190 003191",1
"003190",1
"003190 003191",1
"003190 003191 003192",1
"003191",1
"003191 003192",1
"003191 003192 003193",1
"003192",1
"003192 003193",1
"003192 003193 003194",1
"003193",1
"003193 003194",1
"003193 003194 003195",1
"003194",1
"003194 003195",1
"003194 003195 003196",1
"003195",1
"003195 003196",1
"003195 003196 003197",1
"003196",1
"003196 003197",1
"003196 003197 003198",1
"003197",1
"003197 003198",1
"003197 003198 003199",1
"003198",1
"003198 003199",1
"003198 003199 003200",1
"003199",1
"003199 003200",1
"003199 003200 003201",1
"003200",1
"003200 003201",1
"003200 003201 003202",1
"003201",1
"003201 003202",1
"003201 003202 003203",1
"003202",1
"003202 003203",1
"003202 003203 003204",1
"003203",1
"003203 003204",1
"003203 003204 003205",1
"003204",1
"003204 003205",1
"003204 003205 003206",1
"003205",1
"003205 003206",1
"003205 003206 003207",1
"003206",1
"003206 003207",1
"003206 003207 003208",1
"003207",1
"003207 003208",1
"003207 003208 003209",1
"003208",1
"003208 003209",1
"003208 003209 003210",1
"003209",1
"003209 003210",1
"003209 003210 003211",1
"003210",1
"003210 003211",1
"003210 003211 003212",1
"003211",1
"003211 003212",1
"003211 003212 003213",1
"003212",1
"003212 003213",1
"003212 003213 003214",1
"003213",1
"003213 003214",1
"003213 003214 003215",1
"003214",1
"003214 003215",1
"003214 003215 003216",1
"003215",1
"003215 003216",1
"003215 003216 003217",1
"003216",1
"003216 003217",1
"003216 003217 003218",1
"003217",1
"003217 003218",1
"003217 003218 003219",1
"003218",1
"003218 003219",1
"003218 003219 003220",1
"003219",1
"003219 003220",1
"003219 003220 003221",1
"003220",1
"003220 003221",1
"003220 003221 003222",1
"003221",1
"003221 003222",1
"003221 003222 003223",1
"003222",1
"003222 003223",1
"003222 003223 003224",1
"003223",1
"003223 003224",1
"003223 003224 0032251",1
"003224",1
"003224 0032251",1
"003224 0032251 possession",1
"0032251",1
"0032251 possession",1
"0032251 possession of",1
"003445",1
"003445 003446",1
"003445 003446 003447",1
"003446",1
"003446 003447",1
"003446 003447 003457",1
"003447",1
"003447 003457",1
"003447 003457 003469",1
"003448",1
"003448 003449",1
"003448 003449 003459",1
"003449",1
"003449 003459",1
"003449 003459 003479",1
"003450",1
"003450 003471",1
"003450 003471 003454",1
"003451",1
"003451 003452",1
"003451 003452 003482",1
"003452",1
"003452 003482",1
"003452 003482 003510",1
"003453",1
"003453 003456",1
"003453 003456 003464",1
"003454",1
"003454 003465",1
"003454 003465 003466",1
"003455",1
"003455 003461",1
"003455 003461 003467",1
"003456",1
"003456 003464",1
"003456 003464 003477",1
"003457",1
"003457 003469",1
"003457 003469 003480",1
"003458",1
"003458 003473",1
"003458 003473 003541",1
"003459",1
"003459 003479",1
"003459 003479 003483",1
"003460",1
"003460 003470",1
"003460 003470 003474",1
"003461",1
"003461 003467",1
"003461 003467 003468",1
"003462",1
"003462 003463",1
"003462 003463 003485",1
"003463",1
"003463 003485",1
"003463 003485 003475",1
"003464",1
"003464 003477",1
"003464 003477 003512",1
"003465",1
"003465 003466",1
"003465 003466 003472",1
"003466",1
"003466 003472",1
"003466 003472 003476",1
"003467",1
"003467 003468",1
"003467 003468 003521",1
"003468",1
"003468 003521",1
"003468 003521 003450",1
"003469",1
"003469 003480",1
"003469 003480 003506",1
"003470",1
"003470 003474",1
"003470 003474 003484",1
"003471",1
"003471 003454",1
"003471 003454 003465",1
"003472",1
"003472 003476",1
"003472 003476 003478",1
"003473",1
"003473 003541",1
"003473 003541 003543",1
"003474",1
"003474 003484",1
"003474 003484 003486",1
"003475",1
"003475 003481",1
"003475 003481 003455",1
"003476",1
"003476 003478",1
"003476 003478 003499",1
"003477",1
"003477 003512",1
"003477 003512 003451",1
"003478",1
"003478 003499",1
"003478 003499 003522",1
"003479",1
"003479 003483",1
"003479 003483 003487",1
"003480",1
"003480 003506",1
"003480 003506 003524",1
"003481",1
"003481 003455",1
"003481 003455 003461",1
"003482",1
"003482 003510",1
"003482 003510 003538",1
"003483",1
"003483 003487",1
"003483 003487 003489",1
"003484",1
"003484 003486",1
"003484 003486 003488",1
"003485",1
"003485 003475",1
"003485 003475 003481",1
"003486",1
"003486 003488",1
"003486 003488 003491",1
"003487",1
"003487 003489",1
"003487 003489 003490",1
"003488",1
"003488 003491",1
"003488 003491 003504",1
"003489",1
"003489 003490",1
"003489 003490 003492",1
"003490",1
"003490 003492",1
"003490 003492 003494",1
"003491",1
"003491 003504",1
"003491 003504 003511",1
"003492",1
"003492 003494",1
"003492 003494 003496",1
"003493",1
"003493 003498",1
"003493 003498 003501",1
"003494",1
"003494 003496",1
"003494 003496 003497",1
"003495",1
"003495 003458",1
"003495 003458 003473",1
"003496",1
"003496 003497",1
"003496 003497 003500",1
"003497",1
"003497 003500",1
"003497 003500 003503",1
"003498",1
"003498 003501",1
"003498 003501 003502",1
"003499",1
"003499 003522",1
"003499 003522 003529",1
"003500",1
"003500 003503",1
"003500 003503 003508",1
"003501",1
"003501 003502",1
"003501 003502 003505",1
"003502",1
"003502 003505",1
"003502 003505 003507",1
"003503",1
"003503 003508",1
"003503 003508 003514",1
"003504",1
"003504 003511",1
"003504 003511 003513",1
"003505",1
"003505 003507",1
"003505 003507 0035091",1
"003506",1
"003506 003524",1
"003506 003524 003528",1
"003507",1
"003507 0035091",1
"003507 0035091 possession",1
"003508",1
"003508 003514",1
"003508 003514 003515",1
"0035091",1
"0035091 possession",1
"0035091 possession of",1
"003510",1
"003510 003538",1
"003510 003538 003542",1
"003511",1
"003511 003513",1
"003511 003513 003516",1
"003512",1
"003512 003451",1
"003512 003451 003452",1
"003513",1
"003513 003516",1
"003513 003516 003517",1
"003514",1
"003514 003515",1
"003514 003515 003518",1
"003515",1
"003515 003518",1
"003515 003518 003519",1
"003516",1
"003516 003517",1
"003516 003517 003520",1
"003517",1
"003517 003520",1
"003517 003520 003523",1
"003518",1
"003518 003519",1
"003518 003519 003525",1
"003519",1
"003519 003525",1
"003519 003525 003527",1
"003520",1
"003520 003523",1
"003520 003523 003526",1
"003521",1
"003521 003450",1
"003521 003450 003471",1
"003522",1
"003522 003529",1
"003522 003529 003539",1
"003523",1
"003523 003526",1
"003523 003526 003536",1
"003524",1
"003524 003528",1
"003524 003528 003531",1
"003525",1
"003525 003527",1
"003525 003527 003530",1
"003526",1
"003526 003536",1
"003526 003536 003493",1
"003527",1
"003527 003530",1
"003527 003530 003532",1
"003528",1
"003528 003531",1
"003528 003531 003544",1
"003529",1
"003529 003539",1
"003529 003539 003460",1
"003530",1
"003530 003532",1
"003530 003532 003533",1
"003531",1
"003531 003544",1
"003531 003544 003448",1
"003532",1
"003532 003533",1
"003532 003533 003534",1
"003533",1
"003533 003534",1
"003533 003534 003535",1
"003534",1
"003534 003535",1
"003534 003535 003537",1
"003535",1
"003535 003537",1
"003535 003537 003540",1
"003536",1
"003536 003493",1
"003536 003493 003498",1
"003537",1
"003537 003540",1
"003537 003540 003462",1
"003538",1
"003538 003542",1
"003538 003542 003445",1
"003539",1
"003539 003460",1
"003539 003460 003470",1
"003540",1
"003540 003462",1
