"word","prob4"
"00 specific",1
"00 specific duties",1
"000 00",1
"000 00 specific",1
"000 business",1
"000 business customers",1
"000 customers",1
"000 customers oit",1
"000 or less",1
"000 placements",1
"000 placements in",1
"00011",1
"00011 a",1
"00011 a master",1
"1 4",1
"1 4 1",1
"1 5 swing",1
"1 a juris",1
"1 above academic",1
"1 above an",1
"1 above appropriate",1
"1 above except",1
"1 above nulla",1
"1 above two",1
"1 above we",1
"1 computer",1
"1 computer systems",1
"1 conduct professional",1
"1 create project",1
"1 minimum two",1
"1 professional",1
"1 professional engineer",1
"1 seven",1
"1 seven 7",1
"1 seven years",1
"1 six 6",1
"10 000 business",1
"10 and ensure",1
"10 under",1
"10 under general",1
"10 utilize",1
"10 utilize and",1
"10 years experience",1
"11 g",1
"11 g oracle",1
"11 resolve",1
"11 resolve construction",1
"12 review",1
"12 review field",1
"13 manage",1
"13 manage timely",1
"13 ms 00011",1
"130",1
"130 000",1
"130 000 00",1
"14 perform",1
"14 perform related",1
"16 sales",1
"16 sales teams",1
"168",1
"168 286",1
"168 286 portlets",1
"180 metering",1
"180 metering locations",1
"2 3 4",1
"2 above an",1
"2 coordinate and",1
"2 education at",1
"2 en14439",1
"2 en14439 iso9000",1
"2 excellent verbal",1
"2 exceptional",1
"2 exceptional leadership",1
"2 jdk",1
"2 jdk 1",1
"2 obtain expert",1
"2 provide direct",1
"2 sql",1
"2 sql db2",1
"2 v",1
"2 v 9",1
"2 work hraâ€™s",1
"2 years or",1
"2 years working",1
"20 personnel",1
"20 personnel in",1
"2010 nyc",1
"2010 nyc business",1
"2012 dep",1
"2012 dep assessed",1
"2013 commissioner",1
"2013 commissioner strickland",1
"24 hours",1
"24 hours a",1
"24 hours excellent",1
"24x7 operations",1
"24x7 operations in",1
"25",1
"25 staff",1
"25 staff in",1
"286",1
"286 portlets",1
"286 portlets skins",1
"3 4 or",1
"3 consult",1
"3 consult advise",1
"3 designs",1
"3 designs develops",1
"3 excellent written",1
"3 five",1
"3 five years",1
"3 monitor budget",1
"3 operator",1
"3 operator of",1
"3 sector",1
"3 sector centers",1
"3 senior",1
"3 senior account",1
"3 strong negotiation",1
"3 strong working",1
"3 to function",1
"38 billing",1
