"word","prob3"
"0 3",1
"0 3 5",1
"0 asp",1
"0 asp net",1
"0 for",1
"0 for microsoft",1
"0 web",1
"0 web server",1
"1 2 years",1
"1 above but",1
"1 above driver",1
"1 and leed",1
"1 apm1",1
"1 apm1 within",1
"1 manage the",1
"1 minimum of",1
"1 project",1
"1 project leadership",1
"10 experience",1
"10 experience in",1
"10 staff",1
"10 staff members",1
"10 work",1
"10 work with",1
"100 contact",1
"100 contact hours",1
"11 expert",1
"11 expert understanding",1
"11 provide",1
"11 provide technical",1
"12 devise",1
"12 devise and",1
"12 months",1
"12 months of",1
"13 jail",1
"13 jail and",1
"13 serve",1
"13 serve as",1
"13 strong",1
"13 strong interest",1
"14 strong",1
"14 strong understanding",1
"15 excellent",1
"15 excellent written",1
"1559",1
"1559 ip",1
"1559 ip cameras",1
"16 advanced",1
"16 advanced excel",1
"16 person",1
"16 person team",1
"17 ability",1
"17 ability to",1
"18 strong",1
"18 strong team",1
"1st assistant",1
"1st assistant engineer",1
"2 0",1
"2 0 asp",1
"2 5 years",1
"2 analyze research",1
"2 billion capital",1
"2 business",1
"2 business analysis",1
"2 dynamic datastage",1
"2 in depth",1
"2 oversee",1
"2 oversee the",1
"2 to 4",1
"2 writing",1
"2 writing samples",1
"2 years must",1
"2 years public",1
"2000 ssrs",1
"2000 ssrs ssis",1
"2005",1
"2005 2000",1
"2005 2000 ssrs",1
"2005 2008",1
"2005 2008 2012",1
"2005 2008 reporting",1
"2005 ms",1
"2005 ms visio",1
"2008 2005",1
"2008 2005 2000",1
"2008 2005 ms",1
"2008 2010",1
"2008 2010 framework",1
"2008 2012 software",1
"2008 reporting",1
"2008 reporting service",1
"2010 2008",1
"2010 2008 2005",1
"2010 framework",1
"2010 framework 3",1
"2011",1
"2011 strong",1
"2011 strong knowledge",1
"2012 software",1
"2012 software database",1
"24 months",1
"24 months of",1
"3 0 web",1
"3 5 2",1
"3 5 3",1
"3 a masters",1
"3 and",1
"3 and article",1
"3 assist it",1
"3 conduct requirements",1
"3 familiarity and",1
"3 strong experience",1
"3 x",1
"3 x 4",1
"3 years and",1
"3 years developing",1
"3 years methodologies",1
"3 years minimum",1
"3 yearsâ€™",1
"3 yearsâ€™ experience",1
"3000",1
"3000 hp",1
"3000 hp and",1
"3â€“5",1
"3â€“5 years",1
"3â€“5 years of",1
"3Â½ years proficiency",1
"4 0",1
"4 0 3",1
"4 excellent customer",1
"4 investigate",1
"4 investigate and",1
"4 member",1
"4 member staff",1
"4 oversee it",1
"4 xml",1
"4 xml web",1
"4 yearsâ€™",1
"4 yearsâ€™ experience",1
"48",1
"48 months",1
"48 months however",1
"48 months of",1
"5 2",1
"5 2 0",1
"5 3",1
"5 3 0",1
"5 and",1
"5 and css",1
"5 call",1
"5 call center",1
"5 experience in",1
"5 manage",1
"5 manage project",1
"5 plus years",1
"5 years minimum",1
"50 million operating",1
"6 0",1
"6 0 for",1
"6 conduct",1
"6 conduct or",1
"6 experience",1
"6 experience with",1
"6 manage relationships",1
"6 proficiency with",1
"7 8",1
"7 8 years",1
"7 cases",1
"7 cases â€¢",1
"7 develop",1
"7 develop working",1
"7 environments",1
"7 environments 6",1
"7 experience with",1
"7 plan manage",1
"7 years application",1
"70 000",1
"70 000 annually",1
"8 communicate",1
"8 communicate frequently",1
"8 proven",1
"8 proven client",1
"8 x and",1
"9 experience",1
"9 experience in",1
"9 formulate",1
"9 formulate and",1
"9 years",1
"9 years minimum",1
"90 1 and",1
"9i",1
"9i or",1
"9i or higher",1
"a 16",1
"a 16 person",1
"a 2 billion",1
"a 50",1
"a 50 million",1
"a balanced",1
"a balanced cash",1
"a best",1
"a best practice",1
"a breach",1
"a breach in",1
"a certified it",1
"a chief engineer",1
"a comprehensive training",1
"a crm",1
"a crm solutions",1
"a department we",1
"a development team",1
"a diverse environment",1
"a dynamic self",1
"a financial manager",1
"a fleet",1
"a fleet of",1
"a growing number",1
"a high paced",1
"a highly organized",1
"a java based",1
"a key component",1
"a lan",1
"a lan wan",1
"a liaison among",1
"a litigating",1
"a litigating position",1
"a manager directing",1
"a mechanical",1
"a mechanical engineer",1
"a multi year",1
"a must rn",1
"a net",1
"a net developer",1
"a pandemic",1
"a pandemic influenza",1
"a plus behavioral",1
"a plus greener",1
"a plus proven",1
